,Style,Link,Brand,Dress name,Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
1988,Unknown,https://www.zalando.co.uk/tfnc-shany-dress-cocktail-dress-party-dress-teal-tf121c0mp-p11.html,TFNC,"SHANY DRESS ",37.99,1,electric blue,Velvet/velour,"96% polyester, 4% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Unknown,Asymmetrical,Zip,Unknown,Strapless,Plain,Bow,Extra short,One shoulder,One shoulder,"31.5 "" (Size 10)",Slim Fit,Slim fit,Unknown,Unknown,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1989,Unknown,https://www.zalando.co.uk/maya-deluxe-ruffle-detail-premium-dress-occasion-wear-frosted-pink-m2z21c09f-j11.html,Maya Deluxe,"RUFFLE DETAIL PREMIUM DRESS ",244.99,5,pastel pink,Tulle,100% polyester,100% polyester,"Do not tumble dry, Do not wash",Unknown,Unknown,Unknown,Unknown,Low v-neck,Unknown,Sequins,Maxi/long,"24.5 "" (Size 8)",Long,"59.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8",Unknown,No,No,yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1990,Unknown,https://www.zalando.co.uk/pieces-petite-pchember-day-dress-sky-captain-pit21c04b-k11.html,Pieces,"PCHEMBER  ",30.99,1,black multi-coloured,Chiffon,100% polyester,Unknown,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",Turn-down collar,Unknown,Button,Button down dresses,Unknown,Floral,"Belt included, bust darts",Knee length,"22.5 "" (Size XS)",Long,"40.5 "" (Size XS)",Regular Fit,Regular fit,Unknown,"14.0 "" (Size XS)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1991,Unknown,https://www.zalando.co.uk/esprit-collection-day-dress-brown-es421c1k9-o11.html,Esprit,"MIT SCHLUPPE ",49.99,2,black/white,Chiffon,100% polyester,100% polyester,Unknown,Unknown,Unknown,Unknown,Unknown,V-neck,Prints in general,Unknown,Knee length,"25.0 "" (Size 8)",Long,"39.5 "" (Size 8)",Regular Fit,Regular fit,Unknown,Unknown,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1992,Unknown,https://www.zalando.co.uk/superdry-day-dress-glacier-grey-marl-su221c0oz-a11.html,Superdry,Day dress,59.99,2,grey,Sweat,"59% cotton, 41% polyester",Unknown,"Do not bleach, do not tumble dry",Hood,Unknown,Unknown,Hooded dresses,Unknown,Prints in general,Inseam pockets,Short,Extra long,Long,Unknown,Regular Fit,Regular fit,Unknown,Unknown,No,yes,No,No,No,Unknown,"59% cotton, 41% polyester",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1993,Unknown,https://www.zalando.co.uk/only-petite-onlpella-slip-dress-day-dress-blackwhite-op421c0df-q11.html,",Only","ONLPELLA SLIP DRESS ",23.99,1,black/white,Jersey,"99% polyester, 1% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Unknown,Unknown,Unknown,Unknown,Low v-neck,Polka dot,Slip,Calf length,Spaghetti straps,Spaghetti straps,"42.0 "" (Size S)",Loose Fit,Loose fit,Unknown,Unknown,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1994,Unknown,https://www.zalando.co.uk/vila-vifalias-short-dress-day-dress-navy-v1021c2y2-k11.html,Vila,"VIFALIAS SHORT DRESS ",34.99,1,navy,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Unknown,Unknown,Laces,Unknown,V-neck,Floral,"Bust darts, slip",Knee length,"24.0 "" (Size 8)",Long,"38.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",Yes,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1995,Unknown,https://www.zalando.co.uk/diane-von-furstenberg-david-dress-day-dress-black-df221c0c2-q11.html,Diane von Furstenberg,"DAVID DRESS ",335.0,5,black/white,Unknown,100% viscose,Unknown,Dry clean only,Unknown,Asymmetrical,Zip,Unknown,Low v-neck,Polka dot,Unknown,Knee length,"19.5 "" (Size S)",Long,"42.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S",Unknown,Yes,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1996,Unknown,https://www.zalando.co.uk/thought-spartali-organic-tiered-midi-dress-day-dress-black-t0z21c01c-l11.html,Thought,"SPARTALI ORGANIC TIERED MIDI DRESS ",109.99,3,black/green,Unknown,100% cotton,100% cotton,Machine wash at 30Â°C,Volant/frill collar,Unknown,Laces,Unknown,V-neck,Floral,"Border, bust darts",Calf length,"25.0 "" (Size 10)",Long,"52.5 "" (Size 10)",Regular Fit,Regular fit,Unknown,"15.5 "" (Size 10)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1997,alternative,https://www.zalando.co.uk/vero-moda-vmnellie-dress-day-dress-ivy-green-ve121c2ic-n11.html,Vero Moda,"VMNELLIE DRESS ",24.49,1,white multi-coloured,Unknown,100% viscose,Unknown,"Do not tumble dry, machine wash at 30Â°C",Unknown,Unknown,Unknown,Unknown,Low v-neck,Prints in general,Bow,Short,"26.0 "" (Size S)",Long,"36.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
