link,heading1,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,,,,,,,,,,,,,,,,,
https://www.zalando.co.uk/anna-field-quarter-sleeves-elevated-casual-midi-dress-day-dress-blackgreen-an621c1pc-q11.html,Anna Field,Quarter sleeves elevated casual midi dress , Day dress,summer-dresses,Â£23.99,black/green,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Boat neck,Floral,--,AN621C1PC-Q11,Calf-length,"17.5 "" (Size S)","46.5 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S","17.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/anna-field-quarter-sleeves-elevated-casual-midi-dress-day-dress-blackgreen-an621c1pc-q11.html,Anna Field,Quarter sleeves elevated casual midi dress , Day dress,summer-dresses,Â£23.99,red,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Boat neck,Floral,--,AN621C1PC-Q11,Calf-length,"17.5 "" (Size S)","46.5 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S","17.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/tommy-hilfiger-heritage-slim-polo-dress-day-dress-midnight-to121c08r-k11.html,Tommy Hilfiger,HERITAGE SLIM DRESS , Day dress,summer-dresses,From Â£59.49,midnight,--,--,PiquÃ©,--,"96% cotton, 4% elastane",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",Polo shirt,--,--,--,--,Plain,--,TO121C08R-K11,Short,Short,"35.0 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/yas-yasgeola-shirt-dress-day-dress-silverpink-y0121c1wt-t11.html,YAS,YASGEOLA SHIRT DRESS , Day dress,summer-dresses,Â£59.99,silver/pink,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,--,Button,--,Print,"Bust darts, Crochet Detailing",Y0121C1WT-T11,Knee-length,"20.5 "" (Size S)","36.0 "" (Size S)",Loose Fit,--,"12.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/esprit-collection-new-print-day-dress-bordeaux-es421c1ip-g11.html,Esprit Collection,Day dress,,summer-dresses,From Â£39.99,bordeaux,--,--,--,--,"95% polyamide, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Button,--,Print,"Elasticated waist, slip",ES421C1IP-G11,Calf-length,"23.0 "" (Size 10)","45.5 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/esprit-collection-new-print-day-dress-bordeaux-es421c1ip-g11.html,Esprit Collection,Day dress,,summer-dresses,From Â£39.99,black ,--,--,--,--,"95% polyamide, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Button,--,Print,"Elasticated waist, slip",ES421C1IP-G11,Calf-length,"23.0 "" (Size 10)","45.5 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/esprit-collection-new-print-day-dress-bordeaux-es421c1ip-g11.html,Esprit Collection,Day dress,,summer-dresses,From Â£39.99,dark blue 4,--,--,--,--,"95% polyamide, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Button,--,Print,"Elasticated waist, slip",ES421C1IP-G11,Calf-length,"23.0 "" (Size 10)","45.5 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/esprit-collection-day-dress-dark-blue-4-es421c1ip-k11.html,Esprit Collection,Day dress,,summer-dresses,Â£39.99,dark blue 4,--,--,--,--,"95% polyamide, 5% elastane",100% polyester,"Do not bleach, do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,Button,--,Print,--,ES421C1IP-K11,Knee-length,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/esprit-collection-day-dress-dark-blue-4-es421c1ip-k11.html,Esprit Collection,Day dress,,summer-dresses,Â£39.99,black ,--,--,--,--,"95% polyamide, 5% elastane",100% polyester,"Do not bleach, do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,Button,--,Print,--,ES421C1IP-K11,Knee-length,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/esprit-collection-day-dress-dark-blue-4-es421c1ip-k11.html,Esprit Collection,Day dress,,summer-dresses,Â£39.99,bordeaux,--,--,--,--,"95% polyamide, 5% elastane",100% polyester,"Do not bleach, do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,Button,--,Print,--,ES421C1IP-K11,Knee-length,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/derhy-amanthe-robe-day-dress-multi-coloured-rd521c0m4-t11.html,Derhy,AMANTHE ROBE , Day dress,summer-dresses,Â£99.99,multi coloured,--,--,--,--,100% viscose,--,Hand wash only,--,--,--,Zip,Low-cut v-neck,Floral,"Button row, border",RD521C0M4-T11,Long,Elbow length,"48.5 "" (Size S)",Regular Fit,--,"13.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
